忆缘	14	0	168209	6600	18228	6952	54687	59181	741	31780	114609
花儿红	39	20	146752	17030	70447	17380	137842	136702	15230	104857	289774
平凡人	29	15	132028	14860	42827	14751	112553	116339	12950	72438	241842
往事如风	14	0	126048	7310	44069	7590	55350	59998	6840	58969	122188
天逸	11	0	117332	7450	21618	7326	52737	66210	7091	36394	126038
天亦	10	0	115936	15776	18610	4707	17737	21784	0	39093	39521
狴犴光	19	0	110468	51295	20552	9041	61190	75084	0	80888	136274
有时很忙	30	14	106340	11870	58146	11935	132375	62711	0	81951	195086
刀疤哥	20	0	91674	64859	25508	10912	0	713776	0	101279	713776
明天	24	14	42921	25279	21476	7755	93376	57450	0	54510	150826
寂寞的小牛	14	0	42177	5560	27534	13673	35000	56549	0	46767	91549
莫名	14	0	22632	4109	17379	3366	28033	40521	0	24854	68554
清风袭人醉	19	0	945	6001	26745	6391	72899	37187	0	39137	110086
八月	14	0	777	15220	7700	2728	23394	25290	0	25648	48684
最爱吟儿	14	0	534	22937	14840	5533	0	189770	0	43310	189770
腾讯	12	0	519	2442	11117	2422	18522	29766	0	15981	48288
恋丨怀	2	0	279	1391	4020	1475	10765	13876	1842	6886	26483
九哥无敌	4	0	240	1541	4755	1585	11659	15194	1617	7881	28470
风蚀月1	4	0	192	1001	4616	1101	9750	9612	1000	6718	20362
